resident_id,shelter_id,length_of_stay_days,primary_language,digital_familiarity,mobility_level,has_children,dietary_restrictions,cultural_background,gender_identity
R386,S124,244,Korean,low,full,no,none,East Asian,Cisgender woman
R387,S113,187,Vietnamese,high,limited,no,vegan,Southeast Asian,Cisgender woman
R388,S016,263,Mandarin,low,full,yes,none,East Asian,Cisgender woman
R389,S137,321,Vietnamese,medium,full,yes,none,Southeast Asian,Two-Spirit
R390,S145,383,Somali,medium,full,yes,other,Black,Transgender woman
R391,S082,234,English,medium,full,yes,none,Indigenous,Cisgender woman
R392,S082,262,Indigenous language,high,limited,no,vegetarian,Indigenous,Two-Spirit
R393,S081,211,English,medium,wheelchair,no,vegan,White,Non-binary
R394,S115,277,English,medium,full,no,none,White,Prefer not to say
R395,S053,32,Cantonese,medium,full,no,vegan,East Asian,Cisgender woman
R396,S064,151,Farsi,low,wheelchair,yes,none,Middle Eastern,Non-binary
R397,S108,112,English,high,limited,no,other,White,Cisgender woman
R398,S077,205,Hindi,medium,wheelchair,yes,vegetarian,South Asian,Cisgender woman
R399,S094,170,English,low,full,yes,none,Indigenous,Two-Spirit
R400,S012,272,English,medium,full,yes,none,White,Two-Spirit
R401,S042,47,Indigenous language,low,wheelchair,yes,other,Indigenous,Cisgender woman
R402,S005,299,English,medium,full,no,vegetarian,South Asian,Cisgender woman
R403,S019,289,Mandarin,medium,wheelchair,no,vegan,East Asian,Non-binary
R404,S122,249,English,medium,wheelchair,yes,other,White,Gender non-conforming
R405,S051,134,Punjabi,low,full,yes,other,South Asian,Cisgender woman
R406,S131,103,Cantonese,high,wheelchair,no,vegetarian,East Asian,Cisgender woman
R407,S040,41,English,high,full,no,gluten-free,Indigenous,Cisgender woman
R408,S093,220,Vietnamese,low,wheelchair,yes,gluten-free,Southeast Asian,Cisgender woman
R409,S029,127,Tagalog,medium,wheelchair,yes,vegan,Filipino,Cisgender woman
R410,S065,172,Tagalog,medium,full,yes,other,Filipino,Cisgender woman
R411,S093,179,English,high,limited,yes,vegan,Indigenous,Two-Spirit
R412,S024,227,Hindi,low,full,yes,vegan,South Asian,Cisgender woman
R413,S046,35,Mandarin,medium,full,yes,none,East Asian,Non-binary
R414,S123,117,Farsi,high,full,yes,none,Middle Eastern,Cisgender woman
R415,S041,125,English,high,wheelchair,yes,other,Indigenous,Two-Spirit
R416,S095,228,English,high,full,no,gluten-free,South Asian,Cisgender woman
R417,S117,295,Indigenous language,medium,limited,no,other,Indigenous,Cisgender woman
R418,S090,213,English,high,limited,yes,vegan,White,Cisgender woman
R419,S034,45,English,medium,full,yes,none,Indigenous,Cisgender woman
R420,S035,218,Somali,medium,full,yes,halal,Black,Cisgender woman
R421,S145,234,Spanish,high,full,no,none,Latin American,Cisgender woman
R422,S040,38,English,low,limited,no,vegan,White,Cisgender woman
R423,S046,50,Korean,low,wheelchair,no,vegetarian,East Asian,Cisgender woman
R424,S075,263,Hindi,medium,wheelchair,yes,gluten-free,South Asian,Cisgender woman
R425,S123,62,English,medium,full,yes,none,Indigenous,Cisgender woman
R426,S118,293,English,medium,wheelchair,no,none,Black,Cisgender woman
R427,S116,303,Hindi,medium,full,yes,none,South Asian,Cisgender woman
R428,S031,225,English,medium,full,yes,halal,Southeast Asian,Cisgender woman
R429,S113,337,English,medium,full,yes,other,White,Cisgender woman
R430,S098,266,Hindi,low,full,yes,halal,South Asian,Cisgender woman
R431,S003,264,English,medium,full,no,none,White,Two-Spirit
R432,S146,299,English,low,full,no,none,White,Transgender woman
R433,S090,182,English,medium,limited,no,other,Filipino,Transgender woman
R434,S029,138,English,medium,wheelchair,yes,none,White,Cisgender woman
R435,S017,211,Punjabi,medium,full,no,none,South Asian,Transgender woman
R436,S025,177,English,low,full,yes,other,White,Cisgender woman
R437,S123,104,English,medium,limited,yes,other,Indigenous,Cisgender woman
R438,S117,269,Cantonese,low,limited,yes,none,East Asian,Prefer not to say
R439,S004,236,English,low,wheelchair,yes,none,Indigenous,Cisgender woman
R440,S044,181,English,medium,full,yes,none,Indigenous,Two-Spirit
R441,S068,142,English,medium,full,yes,other,East Asian,Prefer not to say
R442,S013,246,English,high,full,yes,other,Indigenous,Cisgender woman
R443,S045,256,Mandarin,medium,full,no,none,East Asian,Cisgender woman
R444,S069,259,English,high,limited,no,none,Latin American,Two-Spirit
R445,S072,248,Farsi,medium,full,no,halal,Middle Eastern,Non-binary
R446,S127,237,English,low,limited,yes,vegetarian,Filipino,Cisgender woman
R447,S063,241,Indigenous language,medium,limited,yes,none,Indigenous,Cisgender woman
R448,S112,50,Vietnamese,medium,limited,yes,none,Southeast Asian,Cisgender woman
R449,S090,153,English,medium,wheelchair,no,gluten-free,Indigenous,Cisgender woman
R450,S113,275,English,medium,full,yes,none,White,Cisgender woman
R451,S031,245,English,medium,full,no,none,Black,Gender non-conforming
R452,S053,46,Mandarin,medium,wheelchair,yes,none,East Asian,Two-Spirit
R453,S051,208,English,low,full,yes,vegetarian,White,Cisgender woman
R454,S060,236,English,low,full,yes,other,White,Cisgender woman
R455,S031,248,English,medium,full,yes,none,Black,Cisgender woman
R456,S054,46,Punjabi,low,wheelchair,yes,gluten-free,South Asian,Transgender woman
R457,S024,188,English,low,full,no,vegetarian,White,Cisgender woman
R458,S077,141,Mandarin,medium,full,yes,none,East Asian,Cisgender woman
R459,S033,212,English,medium,wheelchair,yes,vegan,Indigenous,Two-Spirit
R460,S003,195,English,medium,limited,yes,halal,South Asian,Cisgender woman
R461,S064,273,English,medium,full,yes,none,Black,Cisgender woman
R462,S008,46,English,medium,full,no,halal,East Asian,Cisgender woman
R463,S143,358,English,high,full,yes,none,East Asian,Cisgender woman
R464,S025,205,English,low,wheelchair,yes,vegetarian,Indigenous,Two-Spirit
R465,S052,44,English,medium,full,no,none,South Asian,Cisgender woman
R466,S140,118,English,medium,limited,no,none,South Asian,Cisgender woman
R467,S037,166,English,medium,full,yes,halal,South Asian,Cisgender woman
R468,S090,213,English,medium,full,yes,halal,Black,Non-binary
R469,S074,263,English,medium,full,no,halal,Black,Cisgender woman
R470,S143,355,English,low,wheelchair,yes,none,White,Transgender woman
R471,S124,264,English,medium,full,no,none,White,Cisgender woman
R472,S109,37,English,medium,limited,no,none,Black,Cisgender woman
R473,S056,219,English,low,wheelchair,no,gluten-free,Indigenous,Cisgender woman
R474,S136,212,English,low,full,no,other,White,Cisgender woman
R475,S080,220,English,high,wheelchair,yes,vegetarian,White,Cisgender woman
R476,S037,142,English,medium,full,yes,none,Indigenous,Cisgender woman
R477,S093,129,English,medium,wheelchair,no,vegan,Indigenous,Two-Spirit
R478,S044,188,Mandarin,medium,full,yes,none,East Asian,Cisgender woman
R479,S054,34,English,low,wheelchair,yes,none,White,Cisgender woman
R480,S019,153,Korean,medium,wheelchair,yes,none,East Asian,Transgender woman
R481,S135,359,English,low,full,no,none,White,Cisgender woman
R482,S042,40,English,low,wheelchair,no,vegan,White,Cisgender woman
R483,S098,266,English,medium,wheelchair,yes,none,White,Cisgender woman
R484,S080,215,Spanish,low,limited,yes,other,Latin American,Non-binary
R485,S127,180,English,medium,limited,no,none,Black,Cisgender woman
R486,S072,188,English,low,full,yes,other,East Asian,Cisgender woman
R487,S032,43,Cantonese,low,full,yes,none,East Asian,Cisgender woman
R488,S144,183,English,medium,limited,no,vegetarian,White,Non-binary
R489,S110,65,Cantonese,medium,limited,yes,none,East Asian,Transgender woman
R490,S132,203,English,low,full,yes,none,White,Cisgender woman
R491,S082,199,English,low,wheelchair,no,gluten-free,Indigenous,Cisgender woman
R492,S127,181,English,medium,limited,yes,other,White,Cisgender woman
R493,S002,247,Vietnamese,low,limited,yes,other,Southeast Asian,Cisgender woman
R494,S114,339,Tagalog,medium,full,yes,none,Filipino,Prefer not to say
R495,S126,263,Hindi,low,wheelchair,yes,other,South Asian,Cisgender woman
R496,S094,271,Indigenous language,medium,full,no,vegetarian,Indigenous,Two-Spirit
R497,S116,319,Mandarin,medium,full,yes,vegan,East Asian,Cisgender woman
R498,S061,48,Indigenous language,low,wheelchair,no,none,Indigenous,Cisgender woman
R499,S077,282,Indigenous language,medium,limited,no,none,Indigenous,Cisgender woman
R500,S069,243,Arabic,low,full,yes,halal,Middle Eastern,Cisgender woman
